Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Year	Year Code	Mother's Weight Gain Recode	Mother's Weight Gain Recode Code	Births
	"Broome County, NY"	36007	Black or African American	2054-5	2021	2021	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2021	2021	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2021	2021	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	White	2106-3	2016	2016	Less than 11 pounds	1	10
	"Broome County, NY"	36007	White	2106-3	2016	2016	11 to 20 pounds	2	24
	"Broome County, NY"	36007	White	2106-3	2016	2016	21 to 30 pounds	3	17
	"Broome County, NY"	36007	White	2106-3	2016	2016	31 to 40 pounds	4	16
	"Broome County, NY"	36007	White	2106-3	2016	2016	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	White	2106-3	2017	2017	Less than 11 pounds	1	13
	"Broome County, NY"	36007	White	2106-3	2017	2017	11 to 20 pounds	2	21
	"Broome County, NY"	36007	White	2106-3	2017	2017	21 to 30 pounds	3	27
	"Broome County, NY"	36007	White	2106-3	2017	2017	31 to 40 pounds	4	11
	"Broome County, NY"	36007	White	2106-3	2017	2017	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	White	2106-3	2018	2018	Less than 11 pounds	1	10
	"Broome County, NY"	36007	White	2106-3	2018	2018	11 to 20 pounds	2	25
	"Broome County, NY"	36007	White	2106-3	2018	2018	21 to 30 pounds	3	17
	"Broome County, NY"	36007	White	2106-3	2018	2018	31 to 40 pounds	4	14
	"Broome County, NY"	36007	White	2106-3	2018	2018	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	White	2106-3	2019	2019	Less than 11 pounds	1	20
	"Broome County, NY"	36007	White	2106-3	2019	2019	11 to 20 pounds	2	16
	"Broome County, NY"	36007	White	2106-3	2019	2019	21 to 30 pounds	3	19
	"Broome County, NY"	36007	White	2106-3	2019	2019	31 to 40 pounds	4	14
	"Broome County, NY"	36007	White	2106-3	2019	2019	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	White	2106-3	2020	2020	Less than 11 pounds	1	26
	"Broome County, NY"	36007	White	2106-3	2020	2020	11 to 20 pounds	2	13
	"Broome County, NY"	36007	White	2106-3	2020	2020	21 to 30 pounds	3	24
	"Broome County, NY"	36007	White	2106-3	2020	2020	31 to 40 pounds	4	10
	"Broome County, NY"	36007	White	2106-3	2020	2020	41 to 98 pounds	5	11
	"Broome County, NY"	36007	White	2106-3	2021	2021	Less than 11 pounds	1	21
