"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Kings County, NY"	"36047"	"2018"	"2018"	"Less than 11 pounds"	"1"	104
	"Kings County, NY"	"36047"	"2018"	"2018"	"11 to 20 pounds"	"2"	187
	"Kings County, NY"	"36047"	"2018"	"2018"	"21 to 30 pounds"	"3"	216
	"Kings County, NY"	"36047"	"2018"	"2018"	"31 to 40 pounds"	"4"	140
	"Kings County, NY"	"36047"	"2018"	"2018"	"41 to 98 pounds"	"5"	56
	"Kings County, NY"	"36047"	"2019"	"2019"	"Less than 11 pounds"	"1"	113
	"Kings County, NY"	"36047"	"2019"	"2019"	"11 to 20 pounds"	"2"	192
	"Kings County, NY"	"36047"	"2019"	"2019"	"21 to 30 pounds"	"3"	186
	"Kings County, NY"	"36047"	"2019"	"2019"	"31 to 40 pounds"	"4"	110
	"Kings County, NY"	"36047"	"2019"	"2019"	"41 to 98 pounds"	"5"	46
	"Kings County, NY"	"36047"	"2020"	"2020"	"Less than 11 pounds"	"1"	90
	"Kings County, NY"	"36047"	"2020"	"2020"	"11 to 20 pounds"	"2"	185
	"Kings County, NY"	"36047"	"2020"	"2020"	"21 to 30 pounds"	"3"	192
	"Kings County, NY"	"36047"	"2020"	"2020"	"31 to 40 pounds"	"4"	102
	"Kings County, NY"	"36047"	"2020"	"2020"	"41 to 98 pounds"	"5"	43
	"Kings County, NY"	"36047"	"2021"	"2021"	"Less than 11 pounds"	"1"	92
	"Kings County, NY"	"36047"	"2021"	"2021"	"11 to 20 pounds"	"2"	175
	"Kings County, NY"	"36047"	"2021"	"2021"	"21 to 30 pounds"	"3"	190
	"Kings County, NY"	"36047"	"2021"	"2021"	"31 to 40 pounds"	"4"	98
	"Kings County, NY"	"36047"	"2021"	"2021"	"41 to 98 pounds"	"5"	50
	"Monroe County, NY"	"36055"	"2016"	"2016"	"Less than 11 pounds"	"1"	32
	"Monroe County, NY"	"36055"	"2016"	"2016"	"11 to 20 pounds"	"2"	31
	"Monroe County, NY"	"36055"	"2016"	"2016"	"21 to 30 pounds"	"3"	16
	"Monroe County, NY"	"36055"	"2016"	"2016"	"31 to 40 pounds"	"4"	18
	"Monroe County, NY"	"36055"	"2016"	"2016"	"41 to 98 pounds"	"5"	17
	"Monroe County, NY"	"36055"	"2017"	"2017"	"Less than 11 pounds"	"1"	41
	"Monroe County, NY"	"36055"	"2017"	"2017"	"11 to 20 pounds"	"2"	36
	"Monroe County, NY"	"36055"	"2017"	"2017"	"21 to 30 pounds"	"3"	32
	"Monroe County, NY"	"36055"	"2017"	"2017"	"31 to 40 pounds"	"4"	27
	"Monroe County, NY"	"36055"	"2017"	"2017"	"41 to 98 pounds"	"5"	10
	"Monroe County, NY"	"36055"	"2018"	"2018"	"Less than 11 pounds"	"1"	33
	"Monroe County, NY"	"36055"	"2018"	"2018"	"11 to 20 pounds"	"2"	47
	"Monroe County, NY"	"36055"	"2018"	"2018"	"21 to 30 pounds"	"3"	31
	"Monroe County, NY"	"36055"	"2018"	"2018"	"31 to 40 pounds"	"4"	24
	"Monroe County, NY"	"36055"	"2018"	"2018"	"41 to 98 pounds"	"5"	16
	"Monroe County, NY"	"36055"	"2019"	"2019"	"Less than 11 pounds"	"1"	40
	"Monroe County, NY"	"36055"	"2019"	"2019"	"11 to 20 pounds"	"2"	46
	"Monroe County, NY"	"36055"	"2019"	"2019"	"21 to 30 pounds"	"3"	34
	"Monroe County, NY"	"36055"	"2019"	"2019"	"31 to 40 pounds"	"4"	22
	"Monroe County, NY"	"36055"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Monroe County, NY"	"36055"	"2020"	"2020"	"Less than 11 pounds"	"1"	25
	"Monroe County, NY"	"36055"	"2020"	"2020"	"11 to 20 pounds"	"2"	32
	"Monroe County, NY"	"36055"	"2020"	"2020"	"21 to 30 pounds"	"3"	29
	"Monroe County, NY"	"36055"	"2020"	"2020"	"31 to 40 pounds"	"4"	13
	"Monroe County, NY"	"36055"	"2020"	"2020"	"41 to 98 pounds"	"5"	11
	"Monroe County, NY"	"36055"	"2021"	"2021"	"Less than 11 pounds"	"1"	46
	"Monroe County, NY"	"36055"	"2021"	"2021"	"11 to 20 pounds"	"2"	35
	"Monroe County, NY"	"36055"	"2021"	"2021"	"21 to 30 pounds"	"3"	40
	"Monroe County, NY"	"36055"	"2021"	"2021"	"31 to 40 pounds"	"4"	12
	"Monroe County, NY"	"36055"	"2021"	"2021"	"41 to 98 pounds"	"5"	11
	"Nassau County, NY"	"36059"	"2016"	"2016"	"Less than 11 pounds"	"1"	39
	"Nassau County, NY"	"36059"	"2016"	"2016"	"11 to 20 pounds"	"2"	84
	"Nassau County, NY"	"36059"	"2016"	"2016"	"21 to 30 pounds"	"3"	73
	"Nassau County, NY"	"36059"	"2016"	"2016"	"31 to 40 pounds"	"4"	27
	"Nassau County, NY"	"36059"	"2016"	"2016"	"41 to 98 pounds"	"5"	20
	"Nassau County, NY"	"36059"	"2017"	"2017"	"Less than 11 pounds"	"1"	47
