Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	21
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	21
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	14
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	26
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	24
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	31
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2016	2016	10
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	102
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	91
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	89
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	91
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	76
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	70
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	32
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	35
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	32
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	33
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	33
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	53
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	355
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	371
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	366
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	327
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	317
