BoroCode,BoroName,Year,race,hispanic origin,total births,500-2500g births,percentage
4,"Queens County, NY",2019,White,Not Hispanic or Latino,5720,252,0.012062937
4,"Queens County, NY",2020,Asian,Hispanic or Latino,83,0,0
4,"Queens County, NY",2020,Asian,Not Hispanic or Latino,6935,568,0.022062004
4,"Queens County, NY",2020,Black or African American,Hispanic or Latino,1234,72,0.017017828
4,"Queens County, NY",2020,Black or African American,Not Hispanic or Latino,3508,367,0.039623717
4,"Queens County, NY",2020,White,Hispanic or Latino,5548,340,0.019286229
4,"Queens County, NY",2020,White,Not Hispanic or Latino,5377,253,0.014878185
4,"Queens County, NY",2021,Asian,Hispanic or Latino,109,10,0
4,"Queens County, NY",2021,Asian,Not Hispanic or Latino,6502,573,0.023838819
4,"Queens County, NY",2021,Black or African American,Hispanic or Latino,1511,100,0.015883521
4,"Queens County, NY",2021,Black or African American,Not Hispanic or Latino,3439,421,0.043908113
4,"Queens County, NY",2021,White,Hispanic or Latino,5474,399,0.025575448
4,"Queens County, NY",2021,White,Not Hispanic or Latino,5064,230,0.012835703
5,"Richmond County, NY",2016,Asian,Hispanic or Latino,82,0,0
5,"Richmond County, NY",2016,Asian,Not Hispanic or Latino,492,23,0
5,"Richmond County, NY",2016,Black or African American,Hispanic or Latino,202,15,0
5,"Richmond County, NY",2016,Black or African American,Not Hispanic or Latino,579,61,0.039723661
5,"Richmond County, NY",2016,White,Hispanic or Latino,860,53,0.01627907
5,"Richmond County, NY",2016,White,Not Hispanic or Latino,2684,100,0.010059613
5,"Richmond County, NY",2017,Asian,Hispanic or Latino,73,0,0
5,"Richmond County, NY",2017,Asian,Not Hispanic or Latino,537,41,0
5,"Richmond County, NY",2017,Black or African American,Hispanic or Latino,219,12,0
5,"Richmond County, NY",2017,Black or African American,Not Hispanic or Latino,582,67,0.036082474
5,"Richmond County, NY",2017,White,Hispanic or Latino,865,59,0.028901734
5,"Richmond County, NY",2017,White,Not Hispanic or Latino,2632,115,0.011778116
5,"Richmond County, NY",2018,Asian,Hispanic or Latino,18,0,0
5,"Richmond County, NY",2018,Asian,Not Hispanic or Latino,522,35,0
5,"Richmond County, NY",2018,Black or African American,Hispanic or Latino,170,16,0
5,"Richmond County, NY",2018,Black or African American,Not Hispanic or Latino,525,56,0.041904762
5,"Richmond County, NY",2018,White,Hispanic or Latino,836,66,0.026315789
5,"Richmond County, NY",2018,White,Not Hispanic or Latino,2350,105,0.013617021
5,"Richmond County, NY",2019,Asian,Hispanic or Latino,12,0,0
5,"Richmond County, NY",2019,Asian,Not Hispanic or Latino,587,32,0
5,"Richmond County, NY",2019,Black or African American,Hispanic or Latino,192,19,0
5,"Richmond County, NY",2019,Black or African American,Not Hispanic or Latino,554,57,0.045126354
5,"Richmond County, NY",2019,White,Hispanic or Latino,805,47,0.023602484
5,"Richmond County, NY",2019,White,Not Hispanic or Latino,2366,99,0.014370245
5,"Richmond County, NY",2020,Asian,Hispanic or Latino,12,0,0
5,"Richmond County, NY",2020,Asian,Not Hispanic or Latino,553,30,0.019891501
5,"Richmond County, NY",2020,Black or African American,Hispanic or Latino,205,17,0
5,"Richmond County, NY",2020,Black or African American,Not Hispanic or Latino,499,50,0.036072144
5,"Richmond County, NY",2020,White,Hispanic or Latino,812,56,0.024630542
5,"Richmond County, NY",2020,White,Not Hispanic or Latino,2339,130,0.016246259
5,"Richmond County, NY",2021,Asian,Hispanic or Latino,0,0,0
5,"Richmond County, NY",2021,Asian,Not Hispanic or Latino,584,46,0.018835616
5,"Richmond County, NY",2021,Black or African American,Hispanic or Latino,222,19,0
5,"Richmond County, NY",2021,Black or African American,Not Hispanic or Latino,481,55,0.041580042
5,"Richmond County, NY",2021,White,Hispanic or Latino,824,56,0.023058252
5,"Richmond County, NY",2021,White,Not Hispanic or Latino,2416,110,0.016142384
