Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,30-34,Black Non-Hisp,No PNC,152
2008,6b,35-39,Black Non-Hisp,No PNC,101
2008,6b,40-44,Black Non-Hisp,No PNC,39
2008,6b,45+,Black Non-Hisp,No PNC,2
2008,6b,N.S.,Black Non-Hisp,No PNC,0
2008,6b,Total,Black Non-Hisp,PNC Start Unk,"1,013"
2008,6b,<15,Black Non-Hisp,PNC Start Unk,3
2008,6b,15-17,Black Non-Hisp,PNC Start Unk,62
2008,6b,18-19,Black Non-Hisp,PNC Start Unk,78
2008,6b,20-24,Black Non-Hisp,PNC Start Unk,275
2008,6b,25-29,Black Non-Hisp,PNC Start Unk,215
2008,6b,30-34,Black Non-Hisp,PNC Start Unk,198
2008,6b,35-39,Black Non-Hisp,PNC Start Unk,131
2008,6b,40-44,Black Non-Hisp,PNC Start Unk,45
2008,6b,45+,Black Non-Hisp,PNC Start Unk,3
2008,6b,N.S.,Black Non-Hisp,PNC Start Unk,3
2008,6b,Total,Black Non-Hisp,PNC Unk,"2,291"
2008,6b,<15,Black Non-Hisp,PNC Unk,8
2008,6b,15-17,Black Non-Hisp,PNC Unk,110
2008,6b,18-19,Black Non-Hisp,PNC Unk,222
2008,6b,20-24,Black Non-Hisp,PNC Unk,639
2008,6b,25-29,Black Non-Hisp,PNC Unk,548
2008,6b,30-34,Black Non-Hisp,PNC Unk,436
2008,6b,35-39,Black Non-Hisp,PNC Unk,254
2008,6b,40-44,Black Non-Hisp,PNC Unk,71
2008,6b,45+,Black Non-Hisp,PNC Unk,3
2008,6b,N.S.,Black Non-Hisp,PNC Unk,0
2008,6b,Total,Other Non-Hisp,All,"28,092"
2008,6b,<15,Other Non-Hisp,All,7
2008,6b,15-17,Other Non-Hisp,All,218
2008,6b,18-19,Other Non-Hisp,All,541
2008,6b,20-24,Other Non-Hisp,All,"4,206"
2008,6b,25-29,Other Non-Hisp,All,"8,540"
2008,6b,30-34,Other Non-Hisp,All,"8,632"
2008,6b,35-39,Other Non-Hisp,All,"4,848"
2008,6b,40-44,Other Non-Hisp,All,"1,003"
2008,6b,45+,Other Non-Hisp,All,93
2008,6b,N.S.,Other Non-Hisp,All,4
2008,6b,Total,Other Non-Hisp,1st - 3rd Month,"18,341"
2008,6b,<15,Other Non-Hisp,1st - 3rd Month,2
2008,6b,15-17,Other Non-Hisp,1st - 3rd Month,97
2008,6b,18-19,Other Non-Hisp,1st - 3rd Month,242
2008,6b,20-24,Other Non-Hisp,1st - 3rd Month,"2,314"
2008,6b,25-29,Other Non-Hisp,1st - 3rd Month,"5,530"
2008,6b,30-34,Other Non-Hisp,1st - 3rd Month,"6,021"
2008,6b,35-39,Other Non-Hisp,1st - 3rd Month,"3,394"
2008,6b,40-44,Other Non-Hisp,1st - 3rd Month,690
2008,6b,45+,Other Non-Hisp,1st - 3rd Month,51
2008,6b,N.S.,Other Non-Hisp,1st - 3rd Month,0
2008,6b,Total,Other Non-Hisp,4th - 6th Month,"5,931"
2008,6b,<15,Other Non-Hisp,4th - 6th Month,4
2008,6b,15-17,Other Non-Hisp,4th - 6th Month,71
2008,6b,18-19,Other Non-Hisp,4th - 6th Month,200
2008,6b,20-24,Other Non-Hisp,4th - 6th Month,"1,184"
2008,6b,25-29,Other Non-Hisp,4th - 6th Month,"1,882"
2008,6b,30-34,Other Non-Hisp,4th - 6th Month,"1,511"
2008,6b,35-39,Other Non-Hisp,4th - 6th Month,860
2008,6b,40-44,Other Non-Hisp,4th - 6th Month,192
2008,6b,45+,Other Non-Hisp,4th - 6th Month,27
2008,6b,N.S.,Other Non-Hisp,4th - 6th Month,0
2008,6b,Total,Other Non-Hisp,7th - 9th Month,"1,512"
2008,6b,<15,Other Non-Hisp,7th - 9th Month,1
2008,6b,15-17,Other Non-Hisp,7th - 9th Month,24
2008,6b,18-19,Other Non-Hisp,7th - 9th Month,56
2008,6b,20-24,Other Non-Hisp,7th - 9th Month,355
2008,6b,25-29,Other Non-Hisp,7th - 9th Month,455
2008,6b,30-34,Other Non-Hisp,7th - 9th Month,391
2008,6b,35-39,Other Non-Hisp,7th - 9th Month,183
2008,6b,40-44,Other Non-Hisp,7th - 9th Month,41
2008,6b,45+,Other Non-Hisp,7th - 9th Month,6
2008,6b,N.S.,Other Non-Hisp,7th - 9th Month,0
2008,6b,Total,Other Non-Hisp,No PNC,202
2008,6b,<15,Other Non-Hisp,No PNC,0
2008,6b,15-17,Other Non-Hisp,No PNC,12
2008,6b,18-19,Other Non-Hisp,No PNC,10
2008,6b,20-24,Other Non-Hisp,No PNC,44
2008,6b,25-29,Other Non-Hisp,No PNC,53
2008,6b,30-34,Other Non-Hisp,No PNC,42
2008,6b,35-39,Other Non-Hisp,No PNC,32
2008,6b,40-44,Other Non-Hisp,No PNC,8
2008,6b,45+,Other Non-Hisp,No PNC,1
2008,6b,N.S.,Other Non-Hisp,No PNC,0
2008,6b,Total,Other Non-Hisp,PNC Start Unk,"1,049"
2008,6b,<15,Other Non-Hisp,PNC Start Unk,0
2008,6b,15-17,Other Non-Hisp,PNC Start Unk,7
2008,6b,18-19,Other Non-Hisp,PNC Start Unk,14
2008,6b,20-24,Other Non-Hisp,PNC Start Unk,136
2008,6b,25-29,Other Non-Hisp,PNC Start Unk,284
2008,6b,30-34,Other Non-Hisp,PNC Start Unk,348
2008,6b,35-39,Other Non-Hisp,PNC Start Unk,208
2008,6b,40-44,Other Non-Hisp,PNC Start Unk,43
2008,6b,45+,Other Non-Hisp,PNC Start Unk,5
2008,6b,N.S.,Other Non-Hisp,PNC Start Unk,4
2008,6b,Total,Other Non-Hisp,PNC Unk,"1,057"
2008,6b,<15,Other Non-Hisp,PNC Unk,0
2008,6b,15-17,Other Non-Hisp,PNC Unk,7
2008,6b,18-19,Other Non-Hisp,PNC Unk,19
2008,6b,20-24,Other Non-Hisp,PNC Unk,173
2008,6b,25-29,Other Non-Hisp,PNC Unk,336
2008,6b,30-34,Other Non-Hisp,PNC Unk,319
2008,6b,35-39,Other Non-Hisp,PNC Unk,171
2008,6b,40-44,Other Non-Hisp,PNC Unk,29
2008,6b,45+,Other Non-Hisp,PNC Unk,3
2008,6b,N.S.,Other Non-Hisp,PNC Unk,0
2008,6b,Total,White Hispanic,All,"44,438"
2008,6b,<15,White Hispanic,All,76
2008,6b,15-17,White Hispanic,All,"1,617"
2008,6b,18-19,White Hispanic,All,"3,436"
2008,6b,20-24,White Hispanic,All,"11,606"
2008,6b,25-29,White Hispanic,All,"12,297"
2008,6b,30-34,White Hispanic,All,"9,188"
2008,6b,35-39,White Hispanic,All,"4,907"
2008,6b,40-44,White Hispanic,All,"1,215"
2008,6b,45+,White Hispanic,All,90
2008,6b,N.S.,White Hispanic,All,6
2008,6b,Total,White Hispanic,1st - 3rd Month,"26,640"
2008,6b,<15,White Hispanic,1st - 3rd Month,21
2008,6b,15-17,White Hispanic,1st - 3rd Month,734
2008,6b,18-19,White Hispanic,1st - 3rd Month,"1,712"
2008,6b,20-24,White Hispanic,1st - 3rd Month,"6,488"
2008,6b,25-29,White Hispanic,1st - 3rd Month,"7,589"
2008,6b,30-34,White Hispanic,1st - 3rd Month,"6,035"
2008,6b,35-39,White Hispanic,1st - 3rd Month,"3,225"
2008,6b,40-44,White Hispanic,1st - 3rd Month,778
2008,6b,45+,White Hispanic,1st - 3rd Month,58
2008,6b,N.S.,White Hispanic,1st - 3rd Month,0
2008,6b,Total,White Hispanic,4th - 6th Month,"11,218"
2008,6b,<15,White Hispanic,4th - 6th Month,25
2008,6b,15-17,White Hispanic,4th - 6th Month,563
2008,6b,18-19,White Hispanic,4th - 6th Month,"1,131"
2008,6b,20-24,White Hispanic,4th - 6th Month,"3,284"
2008,6b,25-29,White Hispanic,4th - 6th Month,"2,959"
2008,6b,30-34,White Hispanic,4th - 6th Month,"1,987"
2008,6b,35-39,White Hispanic,4th - 6th Month,995
2008,6b,40-44,White Hispanic,4th - 6th Month,259
2008,6b,45+,White Hispanic,4th - 6th Month,14
2008,6b,N.S.,White Hispanic,4th - 6th Month,1
2008,6b,Total,White Hispanic,7th - 9th Month,"2,948"
2008,6b,<15,White Hispanic,7th - 9th Month,12
2008,6b,15-17,White Hispanic,7th - 9th Month,173
2008,6b,18-19,White Hispanic,7th - 9th Month,315
2008,6b,20-24,White Hispanic,7th - 9th Month,881
2008,6b,25-29,White Hispanic,7th - 9th Month,766
2008,6b,30-34,White Hispanic,7th - 9th Month,451
2008,6b,35-39,White Hispanic,7th - 9th Month,274
2008,6b,40-44,White Hispanic,7th - 9th Month,71
2008,6b,45+,White Hispanic,7th - 9th Month,4
2008,6b,N.S.,White Hispanic,7th - 9th Month,1
2008,6b,Total,White Hispanic,No PNC,724
