Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2017,6b,25-29,Other Hispanic,PNC Start Unk,44
2017,6b,30-34,Other Hispanic,PNC Start Unk,44
2017,6b,35-39,Other Hispanic,PNC Start Unk,28
2017,6b,40-44,Other Hispanic,PNC Start Unk,9
2017,6b,45+,Other Hispanic,PNC Start Unk,1
2017,6b,N.S.,Other Hispanic,PNC Start Unk,0
2017,6b,Total,Other Hispanic,PNC Unk,444
2017,6b,<15,Other Hispanic,PNC Unk,1
2017,6b,15-17,Other Hispanic,PNC Unk,8
2017,6b,18-19,Other Hispanic,PNC Unk,25
2017,6b,20-24,Other Hispanic,PNC Unk,137
2017,6b,25-29,Other Hispanic,PNC Unk,121
2017,6b,30-34,Other Hispanic,PNC Unk,95
2017,6b,35-39,Other Hispanic,PNC Unk,48
2017,6b,40-44,Other Hispanic,PNC Unk,7
2017,6b,45+,Other Hispanic,PNC Unk,2
2017,6b,N.S.,Other Hispanic,PNC Unk,0
2018,6b,Total,Total Births,All,"225,162"
2018,6b,<15,Total Births,All,57
2018,6b,15-17,Total Births,All,"1,641"
2018,6b,18-19,Total Births,All,"5,191"
2018,6b,20-24,Total Births,All,"33,860"
2018,6b,25-29,Total Births,All,"57,760"
2018,6b,30-34,Total Births,All,"71,246"
2018,6b,35-39,Total Births,All,"43,742"
2018,6b,40-44,Total Births,All,"10,627"
2018,6b,45+,Total Births,All,"1,032"
2018,6b,N.S.,Total Births,All,6
2018,6b,Total,Total Births,1st - 3rd Month,"168,269"
2018,6b,<15,Total Births,1st - 3rd Month,16
2018,6b,15-17,Total Births,1st - 3rd Month,784
2018,6b,18-19,Total Births,1st - 3rd Month,"2,954"
2018,6b,20-24,Total Births,1st - 3rd Month,"22,340"
2018,6b,25-29,Total Births,1st - 3rd Month,"42,323"
2018,6b,30-34,Total Births,1st - 3rd Month,"56,273"
2018,6b,35-39,Total Births,1st - 3rd Month,"34,621"
2018,6b,40-44,Total Births,1st - 3rd Month,"8,188"
2018,6b,45+,Total Births,1st - 3rd Month,766
2018,6b,N.S.,Total Births,1st - 3rd Month,4
2018,6b,Total,Total Births,4th - 6th Month,"38,576"
2018,6b,<15,Total Births,4th - 6th Month,21
2018,6b,15-17,Total Births,4th - 6th Month,559
2018,6b,18-19,Total Births,4th - 6th Month,"1,512"
2018,6b,20-24,Total Births,4th - 6th Month,"7,745"
2018,6b,25-29,Total Births,4th - 6th Month,"10,435"
2018,6b,30-34,Total Births,4th - 6th Month,"10,155"
2018,6b,35-39,Total Births,4th - 6th Month,"6,257"
2018,6b,40-44,Total Births,4th - 6th Month,"1,702"
2018,6b,45+,Total Births,4th - 6th Month,189
2018,6b,N.S.,Total Births,4th - 6th Month,1
2018,6b,Total,Total Births,7th - 9th Month,"10,575"
2018,6b,<15,Total Births,7th - 9th Month,16
2018,6b,15-17,Total Births,7th - 9th Month,195
2018,6b,18-19,Total Births,7th - 9th Month,454
2018,6b,20-24,Total Births,7th - 9th Month,"2,186"
2018,6b,25-29,Total Births,7th - 9th Month,"2,930"
2018,6b,30-34,Total Births,7th - 9th Month,"2,731"
2018,6b,35-39,Total Births,7th - 9th Month,"1,601"
2018,6b,40-44,Total Births,7th - 9th Month,414
2018,6b,45+,Total Births,7th - 9th Month,47
2018,6b,N.S.,Total Births,7th - 9th Month,1
2018,6b,Total,Total Births,No PNC,"1,273"
2018,6b,<15,Total Births,No PNC,3
2018,6b,15-17,Total Births,No PNC,36
2018,6b,18-19,Total Births,No PNC,65
2018,6b,20-24,Total Births,No PNC,295
2018,6b,25-29,Total Births,No PNC,314
2018,6b,30-34,Total Births,No PNC,299
2018,6b,35-39,Total Births,No PNC,206
2018,6b,40-44,Total Births,No PNC,49
2018,6b,45+,Total Births,No PNC,6
2018,6b,N.S.,Total Births,No PNC,0
2018,6b,Total,Total Births,PNC Start Unk,"2,581"
2018,6b,<15,Total Births,PNC Start Unk,1
2018,6b,15-17,Total Births,PNC Start Unk,40
2018,6b,18-19,Total Births,PNC Start Unk,96
2018,6b,20-24,Total Births,PNC Start Unk,531
2018,6b,25-29,Total Births,PNC Start Unk,707
2018,6b,30-34,Total Births,PNC Start Unk,661
2018,6b,35-39,Total Births,PNC Start Unk,425
2018,6b,40-44,Total Births,PNC Start Unk,112
2018,6b,45+,Total Births,PNC Start Unk,8
2018,6b,N.S.,Total Births,PNC Start Unk,0
2018,6b,Total,Total Births,PNC Unk,"3,888"
2018,6b,<15,Total Births,PNC Unk,0
2018,6b,15-17,Total Births,PNC Unk,27
2018,6b,18-19,Total Births,PNC Unk,110
2018,6b,20-24,Total Births,PNC Unk,763
2018,6b,25-29,Total Births,PNC Unk,"1,051"
2018,6b,30-34,Total Births,PNC Unk,"1,127"
2018,6b,35-39,Total Births,PNC Unk,632
2018,6b,40-44,Total Births,PNC Unk,162
2018,6b,45+,Total Births,PNC Unk,16
2018,6b,N.S.,Total Births,PNC Unk,0
2018,6b,Total,White Non-Hisp,All,"108,614"
2018,6b,<15,White Non-Hisp,All,9
2018,6b,15-17,White Non-Hisp,All,371
2018,6b,18-19,White Non-Hisp,All,"1,645"
2018,6b,20-24,White Non-Hisp,All,"14,250"
2018,6b,25-29,White Non-Hisp,All,"26,258"
2018,6b,30-34,White Non-Hisp,All,"38,043"
2018,6b,35-39,White Non-Hisp,All,"22,547"
2018,6b,40-44,White Non-Hisp,All,"4,988"
2018,6b,45+,White Non-Hisp,All,500
2018,6b,N.S.,White Non-Hisp,All,3
2018,6b,Total,White Non-Hisp,1st - 3rd Month,"87,261"
2018,6b,<15,White Non-Hisp,1st - 3rd Month,1
2018,6b,15-17,White Non-Hisp,1st - 3rd Month,193
2018,6b,18-19,White Non-Hisp,1st - 3rd Month,"1,049"
2018,6b,20-24,White Non-Hisp,1st - 3rd Month,"10,068"
2018,6b,25-29,White Non-Hisp,1st - 3rd Month,"20,618"
2018,6b,30-34,White Non-Hisp,1st - 3rd Month,"31,922"
2018,6b,35-39,White Non-Hisp,1st - 3rd Month,"18,938"
2018,6b,40-44,White Non-Hisp,1st - 3rd Month,"4,076"
2018,6b,45+,White Non-Hisp,1st - 3rd Month,394
2018,6b,N.S.,White Non-Hisp,1st - 3rd Month,2
2018,6b,Total,White Non-Hisp,4th - 6th Month,"14,927"
2018,6b,<15,White Non-Hisp,4th - 6th Month,6
2018,6b,15-17,White Non-Hisp,4th - 6th Month,133
2018,6b,18-19,White Non-Hisp,4th - 6th Month,445
2018,6b,20-24,White Non-Hisp,4th - 6th Month,"2,878"
2018,6b,25-29,White Non-Hisp,4th - 6th Month,"3,966"
2018,6b,30-34,White Non-Hisp,4th - 6th Month,"4,233"
2018,6b,35-39,White Non-Hisp,4th - 6th Month,"2,549"
2018,6b,40-44,White Non-Hisp,4th - 6th Month,642
2018,6b,45+,White Non-Hisp,4th - 6th Month,75
2018,6b,N.S.,White Non-Hisp,4th - 6th Month,0
2018,6b,Total,White Non-Hisp,7th - 9th Month,"2,894"
2018,6b,<15,White Non-Hisp,7th - 9th Month,2
2018,6b,15-17,White Non-Hisp,7th - 9th Month,26
2018,6b,18-19,White Non-Hisp,7th - 9th Month,80
2018,6b,20-24,White Non-Hisp,7th - 9th Month,619
2018,6b,25-29,White Non-Hisp,7th - 9th Month,791
2018,6b,30-34,White Non-Hisp,7th - 9th Month,783
2018,6b,35-39,White Non-Hisp,7th - 9th Month,456
2018,6b,40-44,White Non-Hisp,7th - 9th Month,119
2018,6b,45+,White Non-Hisp,7th - 9th Month,17
2018,6b,N.S.,White Non-Hisp,7th - 9th Month,1
2018,6b,Total,White Non-Hisp,No PNC,500
2018,6b,<15,White Non-Hisp,No PNC,0
2018,6b,15-17,White Non-Hisp,No PNC,9
2018,6b,18-19,White Non-Hisp,No PNC,15
2018,6b,20-24,White Non-Hisp,No PNC,114
2018,6b,25-29,White Non-Hisp,No PNC,123
2018,6b,30-34,White Non-Hisp,No PNC,143
2018,6b,35-39,White Non-Hisp,No PNC,74
2018,6b,40-44,White Non-Hisp,No PNC,21
2018,6b,45+,White Non-Hisp,No PNC,1
2018,6b,N.S.,White Non-Hisp,No PNC,0
2018,6b,Total,White Non-Hisp,PNC Start Unk,815
2018,6b,<15,White Non-Hisp,PNC Start Unk,0
2018,6b,15-17,White Non-Hisp,PNC Start Unk,4
2018,6b,18-19,White Non-Hisp,PNC Start Unk,11
2018,6b,20-24,White Non-Hisp,PNC Start Unk,154
2018,6b,25-29,White Non-Hisp,PNC Start Unk,190
2018,6b,30-34,White Non-Hisp,PNC Start Unk,251
2018,6b,35-39,White Non-Hisp,PNC Start Unk,160
2018,6b,40-44,White Non-Hisp,PNC Start Unk,39
2018,6b,45+,White Non-Hisp,PNC Start Unk,6
2018,6b,N.S.,White Non-Hisp,PNC Start Unk,0
2018,6b,Total,White Non-Hisp,PNC Unk,"2,217"
2018,6b,<15,White Non-Hisp,PNC Unk,0
2018,6b,15-17,White Non-Hisp,PNC Unk,6
2018,6b,18-19,White Non-Hisp,PNC Unk,45
2018,6b,20-24,White Non-Hisp,PNC Unk,417
2018,6b,25-29,White Non-Hisp,PNC Unk,570
2018,6b,30-34,White Non-Hisp,PNC Unk,711
2018,6b,35-39,White Non-Hisp,PNC Unk,370
2018,6b,40-44,White Non-Hisp,PNC Unk,91
2018,6b,45+,White Non-Hisp,PNC Unk,7
2018,6b,N.S.,White Non-Hisp,PNC Unk,0
2018,6b,Total,Black Non-Hisp,All,"32,087"
2018,6b,<15,Black Non-Hisp,All,13
2018,6b,15-17,Black Non-Hisp,All,364
2018,6b,18-19,Black Non-Hisp,All,"1,032"
2018,6b,20-24,Black Non-Hisp,All,"5,880"
2018,6b,25-29,Black Non-Hisp,All,"8,827"
2018,6b,30-34,Black Non-Hisp,All,"8,494"
2018,6b,35-39,Black Non-Hisp,All,"5,670"
2018,6b,40-44,Black Non-Hisp,All,"1,617"
2018,6b,45+,Black Non-Hisp,All,190
2018,6b,N.S.,Black Non-Hisp,All,0
2018,6b,Total,Black Non-Hisp,1st - 3rd Month,"20,509"
2018,6b,<15,Black Non-Hisp,1st - 3rd Month,3
2018,6b,15-17,Black Non-Hisp,1st - 3rd Month,164
2018,6b,18-19,Black Non-Hisp,1st - 3rd Month,502
2018,6b,20-24,Black Non-Hisp,1st - 3rd Month,"3,488"
2018,6b,25-29,Black Non-Hisp,1st - 3rd Month,"5,715"
2018,6b,30-34,Black Non-Hisp,1st - 3rd Month,"5,669"
2018,6b,35-39,Black Non-Hisp,1st - 3rd Month,"3,782"
2018,6b,40-44,Black Non-Hisp,1st - 3rd Month,"1,060"
2018,6b,45+,Black Non-Hisp,1st - 3rd Month,126
2018,6b,N.S.,Black Non-Hisp,1st - 3rd Month,0
2018,6b,Total,Black Non-Hisp,4th - 6th Month,"7,131"
2018,6b,<15,Black Non-Hisp,4th - 6th Month,2
2018,6b,15-17,Black Non-Hisp,4th - 6th Month,114
2018,6b,18-19,Black Non-Hisp,4th - 6th Month,339
2018,6b,20-24,Black Non-Hisp,4th - 6th Month,"1,521"
2018,6b,25-29,Black Non-Hisp,4th - 6th Month,"1,908"
2018,6b,30-34,Black Non-Hisp,4th - 6th Month,"1,699"
2018,6b,35-39,Black Non-Hisp,4th - 6th Month,"1,144"
2018,6b,40-44,Black Non-Hisp,4th - 6th Month,363
2018,6b,45+,Black Non-Hisp,4th - 6th Month,41
2018,6b,N.S.,Black Non-Hisp,4th - 6th Month,0
2018,6b,Total,Black Non-Hisp,7th - 9th Month,"2,967"
2018,6b,<15,Black Non-Hisp,7th - 9th Month,4
2018,6b,15-17,Black Non-Hisp,7th - 9th Month,56
2018,6b,18-19,Black Non-Hisp,7th - 9th Month,114
2018,6b,20-24,Black Non-Hisp,7th - 9th Month,519
2018,6b,25-29,Black Non-Hisp,7th - 9th Month,787
2018,6b,30-34,Black Non-Hisp,7th - 9th Month,815
2018,6b,35-39,Black Non-Hisp,7th - 9th Month,520
2018,6b,40-44,Black Non-Hisp,7th - 9th Month,136
2018,6b,45+,Black Non-Hisp,7th - 9th Month,16
2018,6b,N.S.,Black Non-Hisp,7th - 9th Month,0
2018,6b,Total,Black Non-Hisp,No PNC,351
2018,6b,<15,Black Non-Hisp,No PNC,3
2018,6b,15-17,Black Non-Hisp,No PNC,12
2018,6b,18-19,Black Non-Hisp,No PNC,21
2018,6b,20-24,Black Non-Hisp,No PNC,89
2018,6b,25-29,Black Non-Hisp,No PNC,87
2018,6b,30-34,Black Non-Hisp,No PNC,66
2018,6b,35-39,Black Non-Hisp,No PNC,58
2018,6b,40-44,Black Non-Hisp,No PNC,13
2018,6b,45+,Black Non-Hisp,No PNC,2
2018,6b,N.S.,Black Non-Hisp,No PNC,0
2018,6b,Total,Black Non-Hisp,PNC Start Unk,637
2018,6b,<15,Black Non-Hisp,PNC Start Unk,1
2018,6b,15-17,Black Non-Hisp,PNC Start Unk,9
2018,6b,18-19,Black Non-Hisp,PNC Start Unk,33
2018,6b,20-24,Black Non-Hisp,PNC Start Unk,140
2018,6b,25-29,Black Non-Hisp,PNC Start Unk,201
2018,6b,30-34,Black Non-Hisp,PNC Start Unk,132
2018,6b,35-39,Black Non-Hisp,PNC Start Unk,95
2018,6b,40-44,Black Non-Hisp,PNC Start Unk,24
2018,6b,45+,Black Non-Hisp,PNC Start Unk,2
2018,6b,N.S.,Black Non-Hisp,PNC Start Unk,0
2018,6b,Total,Black Non-Hisp,PNC Unk,492
2018,6b,<15,Black Non-Hisp,PNC Unk,0
2018,6b,15-17,Black Non-Hisp,PNC Unk,9
2018,6b,18-19,Black Non-Hisp,PNC Unk,23
2018,6b,20-24,Black Non-Hisp,PNC Unk,123
2018,6b,25-29,Black Non-Hisp,PNC Unk,129
2018,6b,30-34,Black Non-Hisp,PNC Unk,113
2018,6b,35-39,Black Non-Hisp,PNC Unk,71
2018,6b,40-44,Black Non-Hisp,PNC Unk,21
2018,6b,45+,Black Non-Hisp,PNC Unk,3
2018,6b,N.S.,Black Non-Hisp,PNC Unk,0
2018,6b,Total,Other Non-Hisp,All,"32,213"
2018,6b,<15,Other Non-Hisp,All,3
2018,6b,15-17,Other Non-Hisp,All,104
2018,6b,18-19,Other Non-Hisp,All,380
2018,6b,20-24,Other Non-Hisp,All,"3,457"
2018,6b,25-29,Other Non-Hisp,All,"8,431"
2018,6b,30-34,Other Non-Hisp,All,"11,147"
2018,6b,35-39,Other Non-Hisp,All,"6,872"
2018,6b,40-44,Other Non-Hisp,All,"1,642"
2018,6b,45+,Other Non-Hisp,All,177
2018,6b,N.S.,Other Non-Hisp,All,0
2018,6b,Total,Other Non-Hisp,1st - 3rd Month,"24,286"
2018,6b,<15,Other Non-Hisp,1st - 3rd Month,1
2018,6b,15-17,Other Non-Hisp,1st - 3rd Month,42
2018,6b,18-19,Other Non-Hisp,1st - 3rd Month,217
2018,6b,20-24,Other Non-Hisp,1st - 3rd Month,"2,288"
2018,6b,25-29,Other Non-Hisp,1st - 3rd Month,"6,182"
2018,6b,30-34,Other Non-Hisp,1st - 3rd Month,"8,701"
2018,6b,35-39,Other Non-Hisp,1st - 3rd Month,"5,445"
2018,6b,40-44,Other Non-Hisp,1st - 3rd Month,"1,280"
2018,6b,45+,Other Non-Hisp,1st - 3rd Month,130
2018,6b,N.S.,Other Non-Hisp,1st - 3rd Month,0
2018,6b,Total,Other Non-Hisp,4th - 6th Month,"5,441"
2018,6b,<15,Other Non-Hisp,4th - 6th Month,2
2018,6b,15-17,Other Non-Hisp,4th - 6th Month,39
2018,6b,18-19,Other Non-Hisp,4th - 6th Month,95
2018,6b,20-24,Other Non-Hisp,4th - 6th Month,772
2018,6b,25-29,Other Non-Hisp,4th - 6th Month,"1,536"
2018,6b,30-34,Other Non-Hisp,4th - 6th Month,"1,708"
2018,6b,35-39,Other Non-Hisp,4th - 6th Month,999
2018,6b,40-44,Other Non-Hisp,4th - 6th Month,253
2018,6b,45+,Other Non-Hisp,4th - 6th Month,37
2018,6b,N.S.,Other Non-Hisp,4th - 6th Month,0
2018,6b,Total,Other Non-Hisp,7th - 9th Month,"1,704"
2018,6b,<15,Other Non-Hisp,7th - 9th Month,0
2018,6b,15-17,Other Non-Hisp,7th - 9th Month,19
2018,6b,18-19,Other Non-Hisp,7th - 9th Month,51
2018,6b,20-24,Other Non-Hisp,7th - 9th Month,283
2018,6b,25-29,Other Non-Hisp,7th - 9th Month,511
2018,6b,30-34,Other Non-Hisp,7th - 9th Month,511
2018,6b,35-39,Other Non-Hisp,7th - 9th Month,258
2018,6b,40-44,Other Non-Hisp,7th - 9th Month,66
2018,6b,45+,Other Non-Hisp,7th - 9th Month,5
2018,6b,N.S.,Other Non-Hisp,7th - 9th Month,0
2018,6b,Total,Other Non-Hisp,No PNC,125
2018,6b,<15,Other Non-Hisp,No PNC,0
2018,6b,15-17,Other Non-Hisp,No PNC,1
2018,6b,18-19,Other Non-Hisp,No PNC,5
2018,6b,20-24,Other Non-Hisp,No PNC,22
2018,6b,25-29,Other Non-Hisp,No PNC,26
2018,6b,30-34,Other Non-Hisp,No PNC,35
2018,6b,35-39,Other Non-Hisp,No PNC,31
2018,6b,40-44,Other Non-Hisp,No PNC,4
2018,6b,45+,Other Non-Hisp,No PNC,1
2018,6b,N.S.,Other Non-Hisp,No PNC,0
2018,6b,Total,Other Non-Hisp,PNC Start Unk,304
2018,6b,<15,Other Non-Hisp,PNC Start Unk,0
2018,6b,15-17,Other Non-Hisp,PNC Start Unk,1
2018,6b,18-19,Other Non-Hisp,PNC Start Unk,6
2018,6b,20-24,Other Non-Hisp,PNC Start Unk,33
2018,6b,25-29,Other Non-Hisp,PNC Start Unk,88
2018,6b,30-34,Other Non-Hisp,PNC Start Unk,84
2018,6b,35-39,Other Non-Hisp,PNC Start Unk,70
2018,6b,40-44,Other Non-Hisp,PNC Start Unk,22
2018,6b,45+,Other Non-Hisp,PNC Start Unk,0
2018,6b,N.S.,Other Non-Hisp,PNC Start Unk,0
2018,6b,Total,Other Non-Hisp,PNC Unk,353
2018,6b,<15,Other Non-Hisp,PNC Unk,0
2018,6b,15-17,Other Non-Hisp,PNC Unk,2
2018,6b,18-19,Other Non-Hisp,PNC Unk,6
2018,6b,20-24,Other Non-Hisp,PNC Unk,59
2018,6b,25-29,Other Non-Hisp,PNC Unk,88
2018,6b,30-34,Other Non-Hisp,PNC Unk,108
2018,6b,35-39,Other Non-Hisp,PNC Unk,69
2018,6b,40-44,Other Non-Hisp,PNC Unk,17
2018,6b,45+,Other Non-Hisp,PNC Unk,4
2018,6b,N.S.,Other Non-Hisp,PNC Unk,0
2018,6b,Total,White Hispanic,All,"24,800"
2018,6b,<15,White Hispanic,All,12
2018,6b,15-17,White Hispanic,All,318
2018,6b,18-19,White Hispanic,All,935
2018,6b,20-24,White Hispanic,All,"4,613"
2018,6b,25-29,White Hispanic,All,"6,720"
2018,6b,30-34,White Hispanic,All,"6,619"
2018,6b,35-39,White Hispanic,All,"4,334"
2018,6b,40-44,White Hispanic,All,"1,158"
2018,6b,45+,White Hispanic,All,90
2018,6b,N.S.,White Hispanic,All,1
2018,6b,Total,White Hispanic,1st - 3rd Month,"17,566"
2018,6b,<15,White Hispanic,1st - 3rd Month,4
2018,6b,15-17,White Hispanic,1st - 3rd Month,158
2018,6b,18-19,White Hispanic,1st - 3rd Month,521
2018,6b,20-24,White Hispanic,1st - 3rd Month,"2,959"
2018,6b,25-29,White Hispanic,1st - 3rd Month,"4,687"
2018,6b,30-34,White Hispanic,1st - 3rd Month,"4,967"
2018,6b,35-39,White Hispanic,1st - 3rd Month,"3,321"
2018,6b,40-44,White Hispanic,1st - 3rd Month,879
2018,6b,45+,White Hispanic,1st - 3rd Month,69
2018,6b,N.S.,White Hispanic,1st - 3rd Month,1
2018,6b,Total,White Hispanic,4th - 6th Month,"5,039"
2018,6b,<15,White Hispanic,4th - 6th Month,4
2018,6b,15-17,White Hispanic,4th - 6th Month,100
2018,6b,18-19,White Hispanic,4th - 6th Month,268
2018,6b,20-24,White Hispanic,4th - 6th Month,"1,142"
2018,6b,25-29,White Hispanic,4th - 6th Month,"1,394"
2018,6b,30-34,White Hispanic,4th - 6th Month,"1,181"
2018,6b,35-39,White Hispanic,4th - 6th Month,725
2018,6b,40-44,White Hispanic,4th - 6th Month,209
2018,6b,45+,White Hispanic,4th - 6th Month,16
2018,6b,N.S.,White Hispanic,4th - 6th Month,0
2018,6b,Total,White Hispanic,7th - 9th Month,"1,358"
2018,6b,<15,White Hispanic,7th - 9th Month,4
2018,6b,15-17,White Hispanic,7th - 9th Month,44
2018,6b,18-19,White Hispanic,7th - 9th Month,95
2018,6b,20-24,White Hispanic,7th - 9th Month,330
2018,6b,25-29,White Hispanic,7th - 9th Month,404
2018,6b,30-34,White Hispanic,7th - 9th Month,279
2018,6b,35-39,White Hispanic,7th - 9th Month,155
2018,6b,40-44,White Hispanic,7th - 9th Month,44
2018,6b,45+,White Hispanic,7th - 9th Month,3
2018,6b,N.S.,White Hispanic,7th - 9th Month,0
2018,6b,Total,White Hispanic,No PNC,127
2018,6b,<15,White Hispanic,No PNC,0
2018,6b,15-17,White Hispanic,No PNC,3
2018,6b,18-19,White Hispanic,No PNC,11
2018,6b,20-24,White Hispanic,No PNC,28
2018,6b,25-29,White Hispanic,No PNC,33
2018,6b,30-34,White Hispanic,No PNC,22
2018,6b,35-39,White Hispanic,No PNC,27
2018,6b,40-44,White Hispanic,No PNC,2
2018,6b,45+,White Hispanic,No PNC,1
2018,6b,N.S.,White Hispanic,No PNC,0
2018,6b,Total,White Hispanic,PNC Start Unk,361
2018,6b,<15,White Hispanic,PNC Start Unk,0
2018,6b,15-17,White Hispanic,PNC Start Unk,8
2018,6b,18-19,White Hispanic,PNC Start Unk,21
2018,6b,20-24,White Hispanic,PNC Start Unk,89
2018,6b,25-29,White Hispanic,PNC Start Unk,101
2018,6b,30-34,White Hispanic,PNC Start Unk,75
2018,6b,35-39,White Hispanic,PNC Start Unk,56
2018,6b,40-44,White Hispanic,PNC Start Unk,11
2018,6b,45+,White Hispanic,PNC Start Unk,0
2018,6b,N.S.,White Hispanic,PNC Start Unk,0
2018,6b,Total,White Hispanic,PNC Unk,349
2018,6b,<15,White Hispanic,PNC Unk,0
2018,6b,15-17,White Hispanic,PNC Unk,5
2018,6b,18-19,White Hispanic,PNC Unk,19
2018,6b,20-24,White Hispanic,PNC Unk,65
2018,6b,25-29,White Hispanic,PNC Unk,101
2018,6b,30-34,White Hispanic,PNC Unk,95
2018,6b,35-39,White Hispanic,PNC Unk,50
2018,6b,40-44,White Hispanic,PNC Unk,13
2018,6b,45+,White Hispanic,PNC Unk,1
2018,6b,N.S.,White Hispanic,PNC Unk,0
2018,6b,Total,Black Hispanic,All,"3,797"
2018,6b,<15,Black Hispanic,All,2
2018,6b,15-17,Black Hispanic,All,66
2018,6b,18-19,Black Hispanic,All,176
2018,6b,20-24,Black Hispanic,All,842
2018,6b,25-29,Black Hispanic,All,"1,122"
2018,6b,30-34,Black Hispanic,All,936
2018,6b,35-39,Black Hispanic,All,519
2018,6b,40-44,Black Hispanic,All,133
2018,6b,45+,Black Hispanic,All,1
2018,6b,N.S.,Black Hispanic,All,0
2018,6b,Total,Black Hispanic,1st - 3rd Month,"2,526"
2018,6b,<15,Black Hispanic,1st - 3rd Month,0
2018,6b,15-17,Black Hispanic,1st - 3rd Month,27
2018,6b,18-19,Black Hispanic,1st - 3rd Month,93
2018,6b,20-24,Black Hispanic,1st - 3rd Month,518
2018,6b,25-29,Black Hispanic,1st - 3rd Month,750
2018,6b,30-34,Black Hispanic,1st - 3rd Month,674
2018,6b,35-39,Black Hispanic,1st - 3rd Month,372
2018,6b,40-44,Black Hispanic,1st - 3rd Month,91
2018,6b,45+,Black Hispanic,1st - 3rd Month,1
2018,6b,N.S.,Black Hispanic,1st - 3rd Month,0
2018,6b,Total,Black Hispanic,4th - 6th Month,891
2018,6b,<15,Black Hispanic,4th - 6th Month,0
2018,6b,15-17,Black Hispanic,4th - 6th Month,27
2018,6b,18-19,Black Hispanic,4th - 6th Month,58
2018,6b,20-24,Black Hispanic,4th - 6th Month,223
2018,6b,25-29,Black Hispanic,4th - 6th Month,263
2018,6b,30-34,Black Hispanic,4th - 6th Month,182
2018,6b,35-39,Black Hispanic,4th - 6th Month,105
2018,6b,40-44,Black Hispanic,4th - 6th Month,33
2018,6b,45+,Black Hispanic,4th - 6th Month,0
2018,6b,N.S.,Black Hispanic,4th - 6th Month,0
2018,6b,Total,Black Hispanic,7th - 9th Month,239
2018,6b,<15,Black Hispanic,7th - 9th Month,2
2018,6b,15-17,Black Hispanic,7th - 9th Month,7
2018,6b,18-19,Black Hispanic,7th - 9th Month,13
2018,6b,20-24,Black Hispanic,7th - 9th Month,66
2018,6b,25-29,Black Hispanic,7th - 9th Month,67
2018,6b,30-34,Black Hispanic,7th - 9th Month,52
2018,6b,35-39,Black Hispanic,7th - 9th Month,27
2018,6b,40-44,Black Hispanic,7th - 9th Month,5
2018,6b,45+,Black Hispanic,7th - 9th Month,0
2018,6b,N.S.,Black Hispanic,7th - 9th Month,0
2018,6b,Total,Black Hispanic,No PNC,28
2018,6b,<15,Black Hispanic,No PNC,0
2018,6b,15-17,Black Hispanic,No PNC,3
2018,6b,18-19,Black Hispanic,No PNC,0
2018,6b,20-24,Black Hispanic,No PNC,8
2018,6b,25-29,Black Hispanic,No PNC,7
2018,6b,30-34,Black Hispanic,No PNC,4
2018,6b,35-39,Black Hispanic,No PNC,5
2018,6b,40-44,Black Hispanic,No PNC,1
2018,6b,45+,Black Hispanic,No PNC,0
2018,6b,N.S.,Black Hispanic,No PNC,0
2018,6b,Total,Black Hispanic,PNC Start Unk,86
2018,6b,<15,Black Hispanic,PNC Start Unk,0
2018,6b,15-17,Black Hispanic,PNC Start Unk,1
2018,6b,18-19,Black Hispanic,PNC Start Unk,8
2018,6b,20-24,Black Hispanic,PNC Start Unk,25
2018,6b,25-29,Black Hispanic,PNC Start Unk,23
2018,6b,30-34,Black Hispanic,PNC Start Unk,19
2018,6b,35-39,Black Hispanic,PNC Start Unk,7
2018,6b,40-44,Black Hispanic,PNC Start Unk,3
2018,6b,45+,Black Hispanic,PNC Start Unk,0
2018,6b,N.S.,Black Hispanic,PNC Start Unk,0
2018,6b,Total,Black Hispanic,PNC Unk,27
2018,6b,<15,Black Hispanic,PNC Unk,0
2018,6b,15-17,Black Hispanic,PNC Unk,1
2018,6b,18-19,Black Hispanic,PNC Unk,4
2018,6b,20-24,Black Hispanic,PNC Unk,2
2018,6b,25-29,Black Hispanic,PNC Unk,12
2018,6b,30-34,Black Hispanic,PNC Unk,5
2018,6b,35-39,Black Hispanic,PNC Unk,3
2018,6b,40-44,Black Hispanic,PNC Unk,0
2018,6b,45+,Black Hispanic,PNC Unk,0
2018,6b,N.S.,Black Hispanic,PNC Unk,0
2018,6b,Total,Other Hispanic,All,"22,775"
2018,6b,<15,Other Hispanic,All,18
2018,6b,15-17,Other Hispanic,All,413
2018,6b,18-19,Other Hispanic,All,"1,008"
2018,6b,20-24,Other Hispanic,All,"4,681"
2018,6b,25-29,Other Hispanic,All,"6,169"
2018,6b,30-34,Other Hispanic,All,"5,767"
2018,6b,35-39,Other Hispanic,All,"3,608"
2018,6b,40-44,Other Hispanic,All,"1,041"
2018,6b,45+,Other Hispanic,All,70
2018,6b,N.S.,Other Hispanic,All,0
2018,6b,Total,Other Hispanic,1st - 3rd Month,"15,754"
2018,6b,<15,Other Hispanic,1st - 3rd Month,7
2018,6b,15-17,Other Hispanic,1st - 3rd Month,199
2018,6b,18-19,Other Hispanic,1st - 3rd Month,563
2018,6b,20-24,Other Hispanic,1st - 3rd Month,"2,981"
