Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Year	Year Code	Births
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2016	2016	11
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2017	2017	19
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2019	2019	16
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2021	2021	19
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2016	2016	21
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2017	2017	30
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2018	2018	17
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2019	2019	38
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	35
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2021	2021	34
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2016	2016	19
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2017	2017	19
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2018	2018	13
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2019	2019	22
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	13
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2021	2021	16
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2021	2021	11
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2016	2016	19
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2017	2017	12
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2018	2018	24
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2019	2019	24
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	24
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2021	2021	24
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2016	2016	117
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2017	2017	107
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2018	2018	99
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2019	2019	108
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	122
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2021	2021	103
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2016	2016	294
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2017	2017	295
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2018	2018	260
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2019	2019	279
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	303
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2021	2021	296
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2016	2016	259
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2017	2017	266
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2018	2018	288
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2019	2019	248
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	246
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2021	2021	252
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2016	2016	99
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2017	2017	90
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2018	2018	82
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2019	2019	84
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	62
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2021	2021	87
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2016	2016	16
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2017	2017	10
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2018	2018	15
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2019	2019	11
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	10
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2021	2021	14
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2021	2021	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2016	2016	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2017	2017	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2018	2018	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2019	2019	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Ontario County, NY"	36069	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2016	2016	14
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2017	2017	21
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2016	2016	15
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2017	2017	10
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	499 grams or less	1	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2019	2019	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2021	2021	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2016	2016	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2017	2017	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2018	2018	Suppressed
	"Orange County, NY"	36071	Asian	A	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2019	2019	Suppressed
