Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2021	2021	152
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	1063
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	1071
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	1008
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	1034
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	946
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	924
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	75
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	78
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	95
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	113
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	84
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	83
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	36
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	48
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	85
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	75
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	99
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	70
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	279
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	316
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	294
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	306
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	294
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	280
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2016	2016	345
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2017	2017	377
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2018	2018	400
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2019	2019	411
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2020	2020	407
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2021	2021	444
